매출일자,이용카드,매출금액,부가세,봉사료,자원순환노매출종류,할부개월,가맹점명,사업자번호,청구일자,결제수단,카테고리
2024-04-11,M265,36954,0,0,0 일시불,0,파리바게뜨,666-81-97747,2024-05-06,카드,전통시장
2024-06-29,M265,40685,0,0,0 일시불,0,쿠팡,109-19-39163,2024-07-04,카드,도서/신문
2024-03-05,M265,8887,0,0,0 일시불,0,현금영수증_병원,685-57-49949,2024-04-08,카드,전통시장
2024-02-08,M265,15084,0,0,0 일시불,0,맥도날드,217-38-77042,2024-03-08,카드,음식점
2024-07-19,M265,19298,0,0,0 일시불,0,지하철,182-89-66806,2024-08-04,카드,카페
2024-06-15,M265,32461,0,0,0 일시불,0,파리바게뜨,274-67-31385,2024-07-01,카드,주유
2024-12-06,M265,38125,0,0,0 일시불,0,카카오택시,312-44-99123,2025-01-01,카드,공연/영화
2024-01-11,M265,32924,0,0,0 일시불,0,현금영수증_병원,661-17-21346,2024-02-06,카드,공연/영화
2024-09-30,M265,10878,0,0,0 일시불,0,파리바게뜨,427-87-89152,2024-10-10,카드,도서/신문
2024-05-19,M265,47077,0,0,0 일시불,0,스타벅스,299-20-69515,2024-06-01,카드,온라인쇼핑
2024-02-26,M265,3306,0,0,0 일시불,0,이마트,449-96-93950,2024-03-09,카드,대중교통
2024-03-29,M265,45516,0,0,0 일시불,0,파리바게뜨,329-42-57512,2024-04-01,카드,대중교통
2024-11-19,M265,49391,0,0,0 일시불,0,서울대학병원,395-28-69063,2024-12-03,카드,주유
2024-09-08,M265,9556,0,0,0 일시불,0,현금영수증_병원,715-91-39476,2024-10-10,체크카드,직불/선불카드
2024-12-10,M265,20833,0,0,0 일시불,0,파리바게뜨,522-19-34177,2025-01-08,카드,약국
2024-03-09,M265,45533,0,0,0 일시불,0,맥도날드,454-42-40816,2024-04-04,카드,약국
2024-10-16,M265,11690,0,0,0 일시불,0,영화관 CGV,757-41-45819,2024-11-08,카드,온라인쇼핑
2024-08-18,M265,31140,0,0,0 일시불,0,이마트,392-76-41290,2024-09-05,카드,카페
2024-10-01,M265,18502,0,0,0 일시불,0,GS25 편의점,511-49-58056,2024-11-02,카드,병원
2024-03-21,M265,35143,0,0,0 일시불,0,현대서점,721-61-88014,2024-04-01,카드,병원
2024-07-07,M265,15116,0,0,0 일시불,0,베스킨라빈스,434-33-84784,2024-08-07,카드,대중교통
2024-04-18,M265,14651,0,0,0 일시불,0,온누리약국,396-79-92528,2024-05-10,카드,카페
2024-10-28,M265,23240,0,0,0 일시불,0,베스킨라빈스,838-65-81235,2024-11-09,체크카드,직불/선불카드
2024-09-06,M265,2344,0,0,0 일시불,0,현대서점,445-25-99927,2024-10-03,카드,신용카드
2024-04-12,M265,38569,0,0,0 일시불,0,이마트,197-62-26895,2024-05-10,카드,대중교통
2024-01-08,M265,47269,0,0,0 일시불,0,지하철,149-90-67923,2024-02-04,카드,카페
2024-12-10,M265,47466,0,0,0 일시불,0,현금영수증_피트니스,146-54-74889,2025-01-01,카드,약국
2024-12-06,M265,37903,0,0,0 일시불,0,GS25 편의점,805-47-60764,2025-01-03,카드,약국
2024-12-01,M265,37188,0,0,0 일시불,0,파리바게뜨,766-77-21587,2025-01-06,카드,음식점
2024-07-22,M265,17686,0,0,0 일시불,0,전통시장 김밥집,414-96-27925,2024-08-07,카드,공연/영화
2024-02-07,M265,1456,0,0,0 일시불,0,SK주유소,327-17-84386,2024-03-06,카드,카페
2024-05-24,M265,17419,0,0,0 일시불,0,영화관 CGV,121-27-45680,2024-06-05,카드,전통시장
2024-03-27,M265,28905,0,0,0 일시불,0,베스킨라빈스,460-42-37564,2024-04-09,카드,전통시장
2024-11-14,M265,31455,0,0,0 일시불,0,온누리약국,363-34-72874,2024-12-06,카드,신용카드
2024-05-11,M265,46304,0,0,0 일시불,0,GS25 편의점,635-76-75583,2024-06-02,카드,병원
2024-08-23,M265,28725,0,0,0 일시불,0,영화관 CGV,183-68-43653,2024-09-01,카드,대중교통
2024-01-29,M265,37066,0,0,0 일시불,0,맥도날드,727-80-92277,2024-02-10,카드,대중교통
2024-02-28,M265,28326,0,0,0 일시불,0,스타벅스,546-27-75090,2024-03-04,카드,신용카드
2024-08-11,M265,16138,0,0,0 일시불,0,베스킨라빈스,181-83-89810,2024-09-01,체크카드,직불/선불카드
2024-08-14,M265,25347,0,0,0 일시불,0,성남버스,572-68-58500,2024-09-06,카드,주유
2024-09-20,M265,44865,0,0,0 일시불,0,전통시장 수산물,536-38-87471,2024-10-05,카드,공연/영화
2024-10-16,M265,8234,0,0,0 일시불,0,맥도날드,795-19-48476,2024-11-01,카드,전통시장
2024-07-03,M265,43220,0,0,0 일시불,0,현금영수증_피트니스,834-39-71635,2024-08-08,카드,카페
2024-03-26,M265,21168,0,0,0 일시불,0,카카오택시,681-71-47079,2024-04-04,체크카드,직불/선불카드
2024-10-04,M265,4851,0,0,0 일시불,0,성남버스,147-36-92837,2024-11-09,카드,주유
2024-02-25,M265,6579,0,0,0 일시불,0,현대서점,656-89-51458,2024-03-02,카드,음식점
2024-08-13,M265,39973,0,0,0 일시불,0,지하철,859-73-63056,2024-09-04,카드,전통시장
2024-08-01,M265,11886,0,0,0 일시불,0,교보문고,904-48-94771,2024-09-04,카드,음식점
2024-03-15,M265,17933,0,0,0 일시불,0,서울대학병원,826-88-79840,2024-04-10,카드,도서/신문
2024-09-20,M265,24847,0,0,0 일시불,0,지하철,666-74-58167,2024-10-04,체크카드,직불/선불카드
2024-02-04,M265,44672,0,0,0 일시불,0,현금영수증_피트니스,220-15-72674,2024-03-01,카드,대중교통
2024-06-05,M265,25276,0,0,0 일시불,0,영화관 CGV,265-21-10742,2024-07-07,카드,음식점
2024-05-22,M265,33150,0,0,0 일시불,0,전통시장 김밥집,795-33-32507,2024-06-09,카드,신용카드
2024-04-27,M265,20380,0,0,0 일시불,0,맥도날드,807-37-66417,2024-05-01,카드,병원
2024-02-10,M265,29469,0,0,0 일시불,0,전통시장 김밥집,216-74-95701,2024-03-07,카드,카페
2024-01-06,M265,4933,0,0,0 일시불,0,현대서점,967-11-22157,2024-02-10,카드,공연/영화
2024-02-20,M265,7565,0,0,0 일시불,0,베스킨라빈스,798-10-95213,2024-03-04,카드,주유
2024-12-25,M265,19640,0,0,0 일시불,0,전통시장 수산물,692-81-26893,2025-01-04,카드,도서/신문
2024-04-29,M265,33263,0,0,0 일시불,0,현대서점,435-86-23778,2024-05-10,체크카드,직불/선불카드
2024-07-11,M265,39272,0,0,0 일시불,0,성남버스,924-39-81254,2024-08-07,카드,주유
2024-04-03,M265,8914,0,0,0 일시불,0,현금영수증_병원,926-28-43402,2024-05-05,카드,신용카드
2024-04-15,M265,41316,0,0,0 일시불,0,맥도날드,400-38-66348,2024-05-03,카드,병원
2024-05-18,M265,13667,0,0,0 일시불,0,GS25 편의점,476-91-44178,2024-06-09,카드,온라인쇼핑
2024-09-15,M265,14965,0,0,0 일시불,0,서울대학병원,677-98-37567,2024-10-02,카드,도서/신문
2024-04-15,M265,29642,0,0,0 일시불,0,쿠팡,513-99-72995,2024-05-02,카드,대중교통
2024-04-28,M265,34464,0,0,0 일시불,0,쿠팡,523-79-90013,2024-05-03,카드,주유
2024-03-25,M265,24679,0,0,0 일시불,0,GS25 편의점,151-55-65951,2024-04-10,카드,카페
2024-01-20,M265,47570,0,0,0 일시불,0,영화관 CGV,995-48-45337,2024-02-03,카드,약국
2024-03-14,M265,23978,0,0,0 일시불,0,전통시장 김밥집,913-10-27835,2024-04-10,체크카드,직불/선불카드
2024-05-05,M265,25439,0,0,0 일시불,0,스타벅스,240-92-75907,2024-06-02,카드,약국
2024-12-29,M265,5045,0,0,0 일시불,0,성남버스,471-76-68241,2025-01-09,체크카드,직불/선불카드
2024-03-02,M265,30934,0,0,0 일시불,0,서울대학병원,407-55-42910,2024-04-10,카드,온라인쇼핑
2024-06-10,M265,14171,0,0,0 일시불,0,온누리약국,419-87-23880,2024-07-03,카드,공연/영화
2024-10-13,M265,39732,0,0,0 일시불,0,전통시장 김밥집,808-56-36151,2024-11-04,카드,주유
2024-10-03,M265,17862,0,0,0 일시불,0,GS25 편의점,480-41-46187,2024-11-06,카드,공연/영화
2024-03-25,M265,1904,0,0,0 일시불,0,성남버스,842-58-76209,2024-04-06,카드,전통시장
2024-10-12,M265,21091,0,0,0 일시불,0,현금영수증_피트니스,872-44-13541,2024-11-08,카드,전통시장
2024-03-14,M265,47023,0,0,0 일시불,0,쿠팡,654-22-10461,2024-04-10,카드,온라인쇼핑
2024-04-19,M265,21666,0,0,0 일시불,0,교보문고,401-61-94283,2024-05-02,카드,음식점
2024-11-11,M265,18374,0,0,0 일시불,0,이마트,745-78-73671,2024-12-10,카드,음식점
2024-08-08,M265,41461,0,0,0 일시불,0,교보문고,457-49-39129,2024-09-04,카드,카페
2024-01-13,M265,19439,0,0,0 일시불,0,현대서점,973-44-63298,2024-02-01,카드,약국
2024-07-06,M265,10547,0,0,0 일시불,0,현금영수증_피트니스,301-83-78686,2024-08-08,카드,약국
2024-04-03,M265,30156,0,0,0 일시불,0,파리바게뜨,181-20-18594,2024-05-08,카드,주유
2024-02-19,M265,45046,0,0,0 일시불,0,성남버스,556-27-29244,2024-03-02,체크카드,직불/선불카드
2024-07-15,M265,8758,0,0,0 일시불,0,이마트,430-42-77517,2024-08-04,카드,음식점
2024-02-18,M265,31098,0,0,0 일시불,0,전통시장 수산물,558-19-70736,2024-03-01,카드,도서/신문
2024-05-14,M265,39976,0,0,0 일시불,0,온누리약국,953-53-76009,2024-06-03,카드,전통시장
2024-07-06,M265,42936,0,0,0 일시불,0,파리바게뜨,716-90-68693,2024-08-08,카드,온라인쇼핑
2024-03-17,M265,2949,0,0,0 일시불,0,GS25 편의점,557-39-43704,2024-04-10,카드,대중교통
2024-06-20,M265,33520,0,0,0 일시불,0,맥도날드,731-50-97077,2024-07-08,카드,도서/신문
2024-06-20,M265,23313,0,0,0 일시불,0,교보문고,864-21-32149,2024-07-08,카드,공연/영화
2024-03-11,M265,13898,0,0,0 일시불,0,전통시장 김밥집,687-66-76393,2024-04-06,카드,신용카드
2024-12-20,M265,22030,0,0,0 일시불,0,GS25 편의점,586-55-40647,2025-01-02,카드,온라인쇼핑
2024-07-04,M265,46637,0,0,0 일시불,0,GS25 편의점,411-56-32460,2024-08-09,카드,카페
2024-07-29,M265,43070,0,0,0 일시불,0,카카오택시,719-59-30693,2024-08-09,체크카드,직불/선불카드
2024-08-20,M265,31788,0,0,0 일시불,0,이마트,333-50-21485,2024-09-03,카드,주유
2024-04-15,M265,22097,0,0,0 일시불,0,맥도날드,520-23-76334,2024-05-04,카드,전통시장
2024-07-21,M265,25913,0,0,0 일시불,0,GS25 편의점,409-49-15117,2024-08-01,카드,카페
2024-03-08,M265,2143,0,0,0 일시불,0,현대서점,586-99-80389,2024-04-02,카드,약국
2024-11-26,M265,40752,0,0,0 일시불,0,쿠팡,938-69-25101,2024-12-03,카드,주유
2024-01-03,M265,18375,0,0,0 일시불,0,이마트,482-80-28518,2024-02-07,카드,신용카드
2024-12-15,M265,2250,0,0,0 일시불,0,서울대학병원,546-61-49190,2025-01-02,카드,약국
2024-09-22,M265,31810,0,0,0 일시불,0,지하철,674-84-56310,2024-10-10,카드,병원
2024-12-09,M265,4680,0,0,0 일시불,0,쿠팡,498-20-90475,2025-01-03,카드,카페
2024-02-21,M265,23838,0,0,0 일시불,0,이마트,243-96-74176,2024-03-01,카드,카페
2024-07-07,M265,41613,0,0,0 일시불,0,SK주유소,156-83-19953,2024-08-05,카드,대중교통
2024-03-06,M265,10701,0,0,0 일시불,0,현금영수증_피트니스,739-74-89442,2024-04-06,카드,병원
2024-09-01,M265,40605,0,0,0 일시불,0,이마트,727-92-75131,2024-10-02,카드,전통시장
2024-12-24,M265,30429,0,0,0 일시불,0,카카오택시,494-84-17625,2025-01-05,카드,신용카드
2024-05-28,M265,3810,0,0,0 일시불,0,이마트,923-14-95786,2024-06-06,카드,신용카드
2024-08-05,M265,14986,0,0,0 일시불,0,현금영수증_병원,735-13-99256,2024-09-03,카드,음식점
2024-01-18,M265,16442,0,0,0 일시불,0,SK주유소,165-75-37139,2024-02-05,카드,약국
2024-09-06,M265,33558,0,0,0 일시불,0,맥도날드,204-14-94916,2024-10-07,카드,음식점
2024-09-18,M265,8497,0,0,0 일시불,0,파리바게뜨,619-48-55108,2024-10-09,카드,신용카드
2024-11-07,M265,12928,0,0,0 일시불,0,베스킨라빈스,990-29-18555,2024-12-10,카드,전통시장
2024-09-27,M265,23551,0,0,0 일시불,0,베스킨라빈스,984-61-33527,2024-10-05,체크카드,직불/선불카드
2024-01-02,M265,49847,0,0,0 일시불,0,스타벅스,665-35-86318,2024-02-07,카드,카페
2024-09-21,M265,35529,0,0,0 일시불,0,이마트,403-79-69501,2024-10-02,카드,온라인쇼핑
2024-01-06,M265,47873,0,0,0 일시불,0,성남버스,908-12-67965,2024-02-05,카드,음식점
2024-08-06,M265,35862,0,0,0 일시불,0,교보문고,197-94-45214,2024-09-05,카드,도서/신문
2024-04-16,M265,17181,0,0,0 일시불,0,SK주유소,354-17-94941,2024-05-09,체크카드,직불/선불카드
2024-01-31,M265,8747,0,0,0 일시불,0,성남버스,919-45-83964,2024-02-02,카드,병원
2024-11-25,M265,12660,0,0,0 일시불,0,서울대학병원,335-75-46488,2024-12-10,카드,주유
2024-06-10,M265,46953,0,0,0 일시불,0,카카오택시,778-35-68474,2024-07-03,카드,대중교통
2024-10-10,M265,25245,0,0,0 일시불,0,교보문고,361-54-50427,2024-11-08,카드,카페
2024-05-04,M265,33051,0,0,0 일시불,0,서울대학병원,793-23-40070,2024-06-09,카드,신용카드
2024-12-27,M265,39558,0,0,0 일시불,0,파리바게뜨,572-86-85637,2025-01-08,카드,약국
2024-04-01,M265,13717,0,0,0 일시불,0,SK주유소,270-36-19079,2024-05-04,카드,주유
2024-10-18,M265,24453,0,0,0 일시불,0,전통시장 수산물,397-75-40473,2024-11-02,카드,대중교통
2024-08-29,M265,31600,0,0,0 일시불,0,GS25 편의점,490-87-26484,2024-09-09,카드,전통시장
2024-11-03,M265,10560,0,0,0 일시불,0,전통시장 김밥집,670-49-72434,2024-12-01,카드,음식점
2024-11-24,M265,48658,0,0,0 일시불,0,쿠팡,291-38-43906,2024-12-01,카드,신용카드
2024-11-12,M265,4812,0,0,0 일시불,0,지하철,395-14-65978,2024-12-01,카드,대중교통
2024-09-24,M265,21574,0,0,0 일시불,0,전통시장 수산물,474-47-79409,2024-10-03,카드,도서/신문
2024-11-28,M265,12437,0,0,0 일시불,0,영화관 CGV,601-13-43927,2024-12-10,카드,온라인쇼핑
2024-06-09,M265,36793,0,0,0 일시불,0,현대서점,590-66-35280,2024-07-07,카드,카페
2024-07-18,M265,26440,0,0,0 일시불,0,카카오택시,537-19-33795,2024-08-10,카드,주유
2024-02-19,M265,18283,0,0,0 일시불,0,현금영수증_피트니스,521-50-85626,2024-03-03,카드,도서/신문
2024-02-01,M265,49223,0,0,0 일시불,0,스타벅스,171-41-71544,2024-03-01,카드,음식점
2024-07-01,M265,29881,0,0,0 일시불,0,쿠팡,419-47-75422,2024-08-04,카드,신용카드
2024-09-01,M265,46606,0,0,0 일시불,0,카카오택시,412-38-66710,2024-10-04,카드,카페
2024-03-04,M265,47964,0,0,0 일시불,0,SK주유소,843-60-36490,2024-04-03,카드,도서/신문
2024-08-23,M265,12316,0,0,0 일시불,0,맥도날드,530-48-35354,2024-09-03,카드,전통시장
2024-05-28,M265,8300,0,0,0 일시불,0,현금영수증_병원,305-26-62772,2024-06-06,카드,도서/신문
2024-05-12,M265,17698,0,0,0 일시불,0,현금영수증_피트니스,464-34-71875,2024-06-09,카드,음식점
2024-08-08,M265,25523,0,0,0 일시불,0,SK주유소,172-54-66240,2024-09-09,카드,신용카드
2024-11-24,M265,44759,0,0,0 일시불,0,쿠팡,327-76-87422,2024-12-09,카드,온라인쇼핑
2024-06-28,M265,41012,0,0,0 일시불,0,전통시장 김밥집,702-12-37899,2024-07-10,카드,약국
2024-01-08,M265,42279,0,0,0 일시불,0,현대서점,909-72-69714,2024-02-08,카드,대중교통
2024-10-05,M265,43078,0,0,0 일시불,0,현금영수증_병원,694-64-96519,2024-11-07,카드,온라인쇼핑
2024-05-19,M265,44891,0,0,0 일시불,0,지하철,879-58-12781,2024-06-01,카드,대중교통
2024-02-29,M265,34234,0,0,0 일시불,0,현대서점,820-75-26272,2024-03-09,카드,대중교통
2024-05-10,M265,42822,0,0,0 일시불,0,쿠팡,153-25-47536,2024-06-09,카드,대중교통
2024-04-13,M265,42368,0,0,0 일시불,0,SK주유소,487-79-58034,2024-05-06,카드,대중교통
2024-12-18,M265,13560,0,0,0 일시불,0,지하철,548-48-32531,2025-01-05,카드,신용카드
2024-07-16,M265,34134,0,0,0 일시불,0,맥도날드,939-32-31254,2024-08-04,카드,약국
2024-06-19,M265,32953,0,0,0 일시불,0,파리바게뜨,308-46-66454,2024-07-06,카드,음식점
2024-09-25,M265,16611,0,0,0 일시불,0,지하철,838-72-90168,2024-10-04,카드,음식점
2024-03-06,M265,34730,0,0,0 일시불,0,지하철,781-11-17757,2024-04-03,카드,병원
2024-11-17,M265,24494,0,0,0 일시불,0,이마트,959-55-87066,2024-12-07,카드,카페
2024-06-28,M265,39593,0,0,0 일시불,0,서울대학병원,382-67-22800,2024-07-10,카드,도서/신문
2024-04-14,M265,19013,0,0,0 일시불,0,성남버스,873-62-60940,2024-05-07,카드,대중교통
2024-11-12,M265,2279,0,0,0 일시불,0,현금영수증_병원,706-48-27292,2024-12-10,현금영수증,현금영수증
2024-01-27,M265,20683,0,0,0 일시불,0,지하철,335-18-92553,2024-02-06,체크카드,직불/선불카드
2024-12-19,M265,39131,0,0,0 일시불,0,이마트,194-54-25853,2025-01-01,카드,병원
2024-12-15,M265,38635,0,0,0 일시불,0,SK주유소,439-24-64223,2025-01-01,카드,음식점
2024-08-13,M265,12279,0,0,0 일시불,0,카카오택시,133-58-26271,2024-09-02,카드,공연/영화
2024-08-20,M265,18345,0,0,0 일시불,0,전통시장 수산물,809-62-40107,2024-09-05,카드,약국
2024-11-15,M265,48595,0,0,0 일시불,0,지하철,520-40-39139,2024-12-05,카드,신용카드
2024-11-17,M265,32381,0,0,0 일시불,0,전통시장 김밥집,916-29-20376,2024-12-02,카드,대중교통
2024-12-10,M265,18277,0,0,0 일시불,0,카카오택시,106-35-81036,2025-01-02,카드,공연/영화
2024-07-26,M265,46930,0,0,0 일시불,0,현금영수증_병원,992-52-59814,2024-08-06,카드,공연/영화
2024-02-11,M265,37535,0,0,0 일시불,0,서울대학병원,608-64-44998,2024-03-03,카드,도서/신문
2024-10-23,M265,14978,0,0,0 일시불,0,맥도날드,963-66-94999,2024-11-04,카드,신용카드
2024-11-19,M265,14600,0,0,0 일시불,0,이마트,466-58-57581,2024-12-01,카드,음식점
2024-05-16,M265,8779,0,0,0 일시불,0,현금영수증_피트니스,843-65-20364,2024-06-06,카드,카페
2024-05-16,M265,40122,0,0,0 일시불,0,영화관 CGV,261-60-59344,2024-06-07,카드,주유
2024-12-04,M265,12073,0,0,0 일시불,0,온누리약국,831-45-35852,2025-01-06,카드,온라인쇼핑
2024-04-30,M265,46594,0,0,0 일시불,0,베스킨라빈스,180-12-82390,2024-05-07,카드,카페
2024-08-19,M265,24311,0,0,0 일시불,0,지하철,444-35-55326,2024-09-02,카드,공연/영화
