1,<b>청년창업</b> <b>세금</b>감면혜택 질문,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40306&docId=478869331&qb=7LKt64WELCDssL3sl4UsIOyEuOq4iCAyMDIwLTAxLTAxfjIwMjAtMTItMzE=&enc=utf8,"[창업한 중소기업은 창업후 5년간 매년 <b>세금</b> 50∼100% 감면혜택]을 받기위한 질문 나이와 거주지 요건은 충족하는... 사업자등록을 2024년 <b>12</b>월 <b>31</b>일에 하였을 때, 감면혜택을 받은 5년의 기준이 어떻게 될까요? (2025년 1월 1일부터...","청년, 창업, 세금","청년, 창업, 세금 2020-01-01~2020-12-31",2020-01-01,2020-12-31,,
2,<b>2020</b>년 <b>01</b>월 <b>31</b>일까지 근무하고 퇴사예정입니다.,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60802&docId=343793365&qb=7LKt64WELCDssL3sl4UsIOyEuOq4iCAyMDIwLTAxLTAxfjIwMjAtMTItMzE=&enc=utf8,2019년 7월 1일에 입사해서 <b>2020</b>년 1월 <b>31</b>일까지 근무하고 퇴사예정인데요. 연차 발생되서 문의하려고 합니다. 7월부터 <b>12</b>월까지 만근한 연차 6개에 대해서 사측과 사용에 대해서 이야기가 나누어졌는데요. 그런데 1월 <b>31</b>일까지...,"청년, 창업, 세금","청년, 창업, 세금 2020-01-01~2020-12-31",2020-01-01,2020-12-31,,
3,비과밀지역 <b>청년창업</b> <b>세금</b> 감면,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40309&docId=479283790&qb=7LKt64WELCDssL3sl4UsIOyEuOq4iCAyMDIwLTAxLTAxfjIwMjAtMTItMzE=&enc=utf8,... 그리고 매출에 대한 환산방법은 아래와 같습니다 ⑥ 제1항 및 제5항에도 불구하고 2024년 <b>12</b>월 <b>31</b>일 이전에 창업한 창업중소기업(<b>청년창업</b>중소기업은 제외한다. 이하 이 항에서 같다)에 대해서는 최초로 소득이 발생한 과세연도와...,"청년, 창업, 세금","청년, 창업, 세금 2020-01-01~2020-12-31",2020-01-01,2020-12-31,,
4,<b>청년창업</b>세액감면 적용 기간 문의,https://kin.naver.com/qna/detail.naver?d1id=4&dirId=40309&docId=483478766&qb=7LKt64WELCDssL3sl4UsIOyEuOq4iCAyMDIwLTAxLTAxfjIwMjAtMTItMzE=&enc=utf8,... 서비스업 <b>2020</b>년 4월 1일 첫 매출 발생 이 경우 2025년 4월 1일까지 창업세액감면이 적용되나요 아니면 25년 <b>12</b>월 <b>31</b>일까지 발생한 매출분에 대해 감면이 적용되나요!? <b>청년창업</b>세액감면은 개업일 기준으로 5년간 적용됩니다. 즉...,"청년, 창업, 세금","청년, 창업, 세금 2020-01-01~2020-12-31",2020-01-01,2020-12-31,,
5,<b>2020</b>년 <b>01</b>년생 술,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70602&docId=343598335&qb=7LKt64WELCDssL3sl4UsIOyEuOq4iCAyMDIwLTAxLTAxfjIwMjAtMTItMzE=&enc=utf8,안녕하세요 <b>2020</b>년에 성인되는 <b>01</b>년생입니다 1월1일에 친구들이랑 술 먹으려고 하는데 <b>01</b>년생 11월입니다 생일은상관없죠? 상관없습니다 <b>12</b>월 <b>31</b>일 <b>12</b>시 지나면 걍 가능,"청년, 창업, 세금","청년, 창업, 세금 2020-01-01~2020-12-31",2020-01-01,2020-12-31,,
6,<b>01</b>년생<b>12</b>월,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=80205&docId=341768930&qb=7LKt64WELCDssL3sl4UsIOyEuOq4iCAyMDIwLTAxLTAxfjIwMjAtMTItMzE=&enc=utf8,제가<b>01</b>년생즉2001년<b>12</b>월<b>31</b>일생 인데요 내년에 20살인데 생일 안지나도 내년<b>2020</b>년1월1일부터 술.담배.술집.클럽.복권 .팬션.모텔등등 다 되는건가요? ㅋㅋㅋㅋㅋ바뀜 <b>12</b>월<b>31</b>일생이라도 년도로는 성인이니 쌉가능아님?제친구는...,"청년, 창업, 세금","청년, 창업, 세금 2020-01-01~2020-12-31",2020-01-01,2020-12-31,,
7,2018년 <b>01</b>월 15일 ~ <b>2020</b>년 11월까지 연차를 몇개...,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60802&docId=373050466&qb=7LKt64WELCDssL3sl4UsIOyEuOq4iCAyMDIwLTAxLTAxfjIwMjAtMTItMzE=&enc=utf8,직장에서 직원들 연차전체를 최근 공개하였는데요 2017년 5월 <b>31</b>일 부터... 6월~<b>12</b>월까지 입사한 사람은 57개를 주고요. (이건 법이 바뀌어서... 2018년 <b>01</b>월 15일 ~ <b>2020</b>년 11월까지 연차 2019.<b>01</b>.14일까지 11개 2019.<b>01</b>.15일 15개 <b>2020</b>.<b>01</b>....,"청년, 창업, 세금","청년, 창업, 세금 2020-01-01~2020-12-31",2020-01-01,2020-12-31,,
8,<b>2020</b>년 6월 <b>01</b>일에 입사하여 2,https://kin.naver.com/qna/detail.naver?d1id=6&dirId=60802&docId=394246629&qb=7LKt64WELCDssL3sl4UsIOyEuOq4iCAyMDIwLTAxLTAxfjIwMjAtMTItMzE=&enc=utf8,<b>2020</b>년 6월 <b>01</b>일에 입사하여 <b>2020</b>년 <b>12</b>월<b>31</b>일까지 근로계약서 대로 근무 후 2021년 1월 1일에서 2021년 3월 <b>31</b>일 까지 다시 근로계약서를 작성 하였고 2021년 4월 <b>01</b>일부터 2021년 6월 30일까지 총 세번의 근로계약서를 작성하였고 근로를...,"청년, 창업, 세금","청년, 창업, 세금 2020-01-01~2020-12-31",2020-01-01,2020-12-31,,
9,<b>01</b>년생 <b>2020</b>년 1월 술집출입가능,https://kin.naver.com/qna/detail.naver?d1id=8&dirId=8010502&docId=328447844&qb=7LKt64WELCDssL3sl4UsIOyEuOq4iCAyMDIwLTAxLTAxfjIwMjAtMTItMzE=&enc=utf8,<b>01</b>년생 <b>2020</b>년 1월 1일에 술집 출입가능한가요? 제가 <b>01</b>년생이고 내년에 20살이잖아요 근데 전 생일이 여름이에요... 내년 제 생일 전까지도 만18세잖아요 근데 그전에 술집들어가서 술마셔도 안걸리나요?? 네 <b>31</b>일 <b>12</b>시 지나면 됩니다,"청년, 창업, 세금","청년, 창업, 세금 2020-01-01~2020-12-31",2020-01-01,2020-12-31,,
10,<b>2020</b>년 <b>12</b>월 이사방향 문의드립니다ㅏ.,https://kin.naver.com/qna/detail.naver?d1id=3&dirId=31501&docId=366078024&qb=7LKt64WELCDssL3sl4UsIOyEuOq4iCAyMDIwLTAxLTAxfjIwMjAtMTItMzE=&enc=utf8,"<b>2020</b>년 <b>12</b>월 이사예정입니다. 혹시 나쁜 방향이 있나해서요. 남편 62년 9월 <b>01</b>일 (음력) 아내 68년 6월 14일 (음력) 자녀(여) 94년 9월 5일(양력) 자녀(여) 98년 3월 <b>31</b>일(양력) 금전운, 건강운이 있는 좋은 방향 부탁드립니다^^ 이사택일을...","청년, 창업, 세금","청년, 창업, 세금 2020-01-01~2020-12-31",2020-01-01,2020-12-31,,
